station_id,num_bikes_available_mean,mechanical_available,ebike_available,num_docks_available_mean,num_docks_available_max,is_charging_station,status,is_installed,is_renting,is_returning,ttl,checkouts_hour_station,temperature,precipitation,wind_speed,weather_category,day_of_week,hour_of_day,month,checkouts_hour_station_lag1,checkouts_hour_station_lag24,lat,lon,address
165,6.25,1.6666666666666667,4.583333333333333,15.666666666666666,22,True,IN_SERVICE,1,1,1,0,4,22.0,0.0,3.6,clear,2,6,8,2.0,9.0,41.3992169,2.2041415,"C/ DEL DOCTOR TRUETA, 222"
123,2.25,1.6666666666666667,0.5833333333333334,16.0,19,True,IN_SERVICE,1,1,1,0,4,12.0,0.0,3.6,cloudy,3,18,1,7.0,7.0,41.3988184485363,2.166735224916682,"C/ PROVENÇA, 317"
395,0.0833333333333333,0.0833333333333333,0.0,29.916666666666668,30,True,IN_SERVICE,1,1,1,0,1,10.0,0.0,6.0,cloudy,3,1,11,2.0,2.0,41.3860607,2.1702467,"PL. CATALUNYA, 22"
370,12.166666666666666,8.75,3.4166666666666665,17.5,22,True,IN_SERVICE,1,1,1,0,11,13.0,0.0,1.8,cloudy,1,16,1,12.0,8.0,41.4039698,2.1729061,"C/ SARDENYA, 326"
123,6.416666666666667,2.0,4.416666666666667,14.583333333333334,15,True,IN_SERVICE,1,1,1,0,0,18.0,0.0,9.4,cloudy,0,3,9,0.0,4.0,41.3988184485363,2.166735224916682,"C/ PROVENÇA, 317"
364,13.75,10.583333333333334,3.1666666666666665,16.833333333333332,21,True,IN_SERVICE,1,1,1,0,12,25.0,0.0,2.0,clear,6,22,8,8.0,4.0,41.393062,2.1633226,"PG. DE GRÀCIA, 61"
42,16.833333333333332,2.4166666666666665,14.416666666666666,2.75,7,True,IN_SERVICE,1,1,1,0,17,16.0,0.0,7.6,cloudy,4,14,12,13.0,20.0,41.404511,2.189881,"C/ CIUTAT DE GRANADA, 168| AV.DIGONAL"
42,6.25,4.666666666666667,1.5833333333333333,16.666666666666668,18,True,IN_SERVICE,1,1,1,1,6,2.0,0.0,9.4,clear,4,22,12,4.0,6.0,41.404511,2.189881,"C/ CIUTAT DE GRANADA, 168| AV.DIGONAL"
65,5.583333333333333,2.1666666666666665,3.4166666666666665,12.416666666666666,14,True,IN_SERVICE,1,1,1,0,4,2.0,0.0,7.6,clear,6,7,12,1.0,1.0,41.387696,2.1696543,"PL. CATALUNYA, 10-11 (PG. DE GRÀCIA)"
226,11.833333333333334,0.0,11.833333333333334,12.75,16,True,IN_SERVICE,1,1,1,0,6,17.0,0.2,7.6,storm,2,4,9,2.0,7.0,41.4035608,2.1609345,"C/ MONTMANY, 1"
112,10.25,0.8333333333333334,9.416666666666666,8.75,11,True,IN_SERVICE,1,1,1,0,1,13.0,0.0,3.6,clear,4,0,9,1.0,11.0,41.3776721,2.157233,"C/ FLORIDABLANCA, 49"
84,14.333333333333334,10.75,3.5833333333333335,8.416666666666666,9,True,IN_SERVICE,1,1,1,0,1,0.0,0.0,3.6,clear,6,7,12,2.0,1.0,41.3830299,2.1571646,"C/ DEL COMTE D'URGELL, 75 B"
80,6.416666666666667,2.1666666666666665,4.25,5.75,8,True,IN_SERVICE,1,1,1,0,9,13.0,0.0,14.8,cloudy,4,13,1,6.0,5.0,41.389668,2.1599078,"C/ ENRIC  GRANADOS, 35"
118,17.416666666666668,13.25,4.166666666666667,6.416666666666667,11,True,IN_SERVICE,1,1,1,0,8,22.0,0.0,7.6,cloudy,5,14,10,9.0,8.0,41.39212,2.1874966,"C/ PUJADES,  3"
80,1.9166666666666667,0.0,1.9166666666666667,13.416666666666666,14,True,IN_SERVICE,1,1,1,0,4,10.0,0.0,1.8,cloudy,5,6,11,6.0,8.0,41.389668,2.1599078,"C/ ENRIC  GRANADOS, 35"
72,3.75,0.3333333333333333,3.4166666666666665,22.25,24,True,IN_SERVICE,1,1,1,0,5,18.0,0.0,7.6,cloudy,0,19,10,8.0,1.0,41.3927771,2.1586273,"C/ PROVENÇA, 215"
364,13.916666666666666,12.583333333333334,1.3333333333333333,18.25,21,True,IN_SERVICE,1,1,1,0,7,24.0,0.0,7.6,clear,1,23,8,3.0,9.0,41.393062,2.1633226,"PG. DE GRÀCIA, 61"
89,5.0,2.0,3.0,19.0,19,True,IN_SERVICE,1,1,1,0,0,17.0,0.0,7.6,clear,1,1,9,0.0,1.0,41.3871904,2.149131,"C/ ROSSELLÓ,  101"
119,15.833333333333334,5.75,10.083333333333334,22.083333333333332,23,True,IN_SERVICE,1,1,1,0,6,18.0,0.0,7.6,cloudy,2,17,10,4.0,10.0,41.3967169,2.1825085,"C/ SARDENYA,  178"
364,23.666666666666668,0.0,23.666666666666668,4.5,8,True,IN_SERVICE,1,1,1,0,10,22.0,0.0,11.2,clear,3,11,10,8.0,1.0,41.393062,2.1633226,"PG. DE GRÀCIA, 61"
153,18.833333333333332,4.75,14.083333333333334,3.1666666666666665,11,True,IN_SERVICE,1,1,1,0,1,5.0,0.0,0.0,clear,0,8,12,5.0,1.0,41.4018686,2.20077,"C/ PUJADES, 173/RBLA POBLE NOU"
